Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	Rtr1	1	internal://	InInterests	0	0	0	0
1	Rtr1	1	internal://	OutInterests	0	0	0	0
1	Rtr1	1	internal://	InData	0	0	0	0
1	Rtr1	1	internal://	OutData	0	0	0	0
1	Rtr1	1	internal://	InNacks	0	0	0	0
1	Rtr1	1	internal://	OutNacks	0	0	0	0
1	Rtr1	1	internal://	InSatisfiedInterests	0	0	0	0
1	Rtr1	1	internal://	InTimedOutInterests	0	0	0	0
1	Rtr1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	Rtr1	1	internal://	OutTimedOutInterests	0	0	0	0
1	Rtr1	2	internal://	InInterests	0	0	0	0
1	Rtr1	2	internal://	OutInterests	0	0	0	0
1	Rtr1	2	internal://	InData	0	0	0	0
1	Rtr1	2	internal://	OutData	0	0	0	0
1	Rtr1	2	internal://	InNacks	0	0	0	0
1	Rtr1	2	internal://	OutNacks	0	0	0	0
1	Rtr1	2	internal://	InSatisfiedInterests	1.6	0	2	0
1	Rtr1	2	internal://	InTimedOutInterests	0	0	0	0
1	Rtr1	2	internal://	OutSatisfiedInterests	0	0	0	0
1	Rtr1	2	internal://	OutTimedOutInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutInterests	8028.8	211.497	10036	264.371
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InData	7292	3880.8	9115	4851
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	7292	0	9115	0
1	Rtr1	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	Rtr1	258	appFace://	InInterests	8028.8	211.497	10036	264.371
1	Rtr1	258	appFace://	OutInterests	0	0	0	0
1	Rtr1	258	appFace://	InData	0	0	0	0
1	Rtr1	258	appFace://	OutData	7292	3880.8	9115	4851
1	Rtr1	258	appFace://	InNacks	0	0	0	0
1	Rtr1	258	appFace://	OutNacks	0	0	0	0
1	Rtr1	258	appFace://	InSatisfiedInterests	7292	0	9115	0
1	Rtr1	258	appFace://	InTimedOutInterests	0	0	0	0
1	Rtr1	258	appFace://	OutSatisfiedInterests	0	0	0	0
1	Rtr1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	Rtr1	-1	all	SatisfiedInterests	7293.6	0	9117	0
1	Rtr1	-1	all	TimedOutInterests	0	0	0	0
1	Rtr2	1	internal://	InInterests	0	0	0	0
1	Rtr2	1	internal://	OutInterests	0	0	0	0
1	Rtr2	1	internal://	InData	0	0	0	0
1	Rtr2	1	internal://	OutData	0	0	0	0
1	Rtr2	1	internal://	InNacks	0	0	0	0
1	Rtr2	1	internal://	OutNacks	0	0	0	0
1	Rtr2	1	internal://	InSatisfiedInterests	0	0	0	0
1	Rtr2	1	internal://	InTimedOutInterests	0	0	0	0
1	Rtr2	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	Rtr2	1	internal://	OutTimedOutInterests	0	0	0	0
1	Rtr2	2	internal://	InInterests	0	0	0	0
1	Rtr2	2	internal://	OutInterests	0	0	0	0
