Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	Rtr1	combined	Drop	0	0	0	0
0.5	Rtr2	combined	Drop	0	0	0	0
0.5	Rtr3	combined	Drop	0	0	0	0
0.5	Rtr4	combined	Drop	0	0	0	0
0.5	Rtr5	combined	Drop	0	0	0	0
0.5	Rtr6	combined	Drop	0	0	0	0
0.5	Rtr7	combined	Drop	0	0	0	0
0.5	Rtr8	combined	Drop	0	0	0	0
0.5	Rtr9	combined	Drop	0	0	0	0
0.5	Rtr10	combined	Drop	0	0	0	0
0.5	Rtr11	combined	Drop	0	0	0	0
0.5	Rtr12	combined	Drop	0	0	0	0
0.5	Rtr13	combined	Drop	0	0	0	0
0.5	Rtr14	combined	Drop	0	0	0	0
0.5	Rtr15	combined	Drop	0	0	0	0
0.5	Rtr16	combined	Drop	0	0	0	0
0.5	Rtr17	combined	Drop	0	0	0	0
0.5	Rtr18	combined	Drop	0	0	0	0
0.5	Rtr19	combined	Drop	0	0	0	0
0.5	Src1	combined	Drop	0	0	0	0
0.5	Src2	combined	Drop	0	0	0	0
0.5	Src3	combined	Drop	0	0	0	0
0.5	Src4	combined	Drop	0	0	0	0
0.5	Src5	combined	Drop	0	0	0	0
0.5	Dst1	combined	Drop	0	0	0	0
0.5	Dst2	combined	Drop	0	0	0	0
0.5	Dst3	combined	Drop	0	0	0	0
1	Rtr1	combined	Drop	0	0	0	0
1	Rtr2	combined	Drop	0	0	0	0
1	Rtr3	combined	Drop	0	0	0	0
1	Rtr4	combined	Drop	0	0	0	0
1	Rtr5	combined	Drop	0	0	0	0
1	Rtr6	combined	Drop	0	0	0	0
1	Rtr7	combined	Drop	0	0	0	0
1	Rtr8	combined	Drop	0	0	0	0
1	Rtr9	combined	Drop	0	0	0	0
1	Rtr10	combined	Drop	0	0	0	0
1	Rtr11	combined	Drop	0	0	0	0
1	Rtr12	combined	Drop	0	0	0	0
1	Rtr13	combined	Drop	0	0	0	0
